G137,20,2021-11-26 12:45:00,2021-11-26 17:04:00,北京,南京,445,356
G13,20,2021-11-26 13:00:00,2021-11-26 16:30:00,北京,南京,445,356
G185,20,2021-11-26 13:20:00,2021-11-26 17:56:00,北京,南京,445,356
G187,20,2021-11-26 13:38:00,2021-11-26 18:10:00,北京,南京,445,356
G143,20,2021-11-26 14:08:00,2021-11-26 18:28:00,北京,南京,445,356
G147,20,2021-11-26 14:27:00,2021-11-26 19:07:00,北京,南京,445,356
G149,20,2021-11-26 15:08:00,2021-11-26 19:39:00,北京,南京,445,356
G191,20,2021-11-26 15:18:00,2021-11-26 20:07:00,北京,南京,445,356
G19,20,2021-11-26 16:00:00,2021-11-26 19:24:00,北京,南京,445,356
G195,20,2021-11-26 16:17:00,2021-11-26 20:59:00,北京,南京,445,356
G157,20,2021-11-26 16:53:00,2021-11-26 21:37:00,北京,南京,445,356
G159,20,2021-11-26 17:19:00,2021-11-26 21:50:00,北京,南京,445,356
D710,20,2021-11-24 00:02:00,2021-11-24 09:22:00,南京,北京,196,156
G204,20,2021-11-24 07:16:00,2021-11-24 12:13:00,南京,北京,196,156
G104,20,2021-11-24 08:02:00,2021-11-24 12:33:00,南京,北京,196,156
G34,20,2021-11-24 08:33:00,2021-11-24 13:07:00,南京,北京,196,156
G20,20,2021-11-24 08:58:00,2021-11-24 12:20:00,南京,北京,196,156
G108,20,2021-11-24 09:11:00,2021-11-24 13:22:00,南京,北京,196,156
G120,20,2021-11-24 09:21:00,2021-11-24 13:33:00,南京,北京,196,156
G114,20,2021-11-24 09:50:00,2021-11-24 14:13:00,南京,北京,196,156
G58,20,2021-11-24 10:11:00,2021-11-24 14:43:00,南京,北京,196,156
G10,20,2021-11-24 11:02:00,2021-11-24 14:28:00,南京,北京,196,156
G46,20,2021-11-24 11:17:00,2021-11-24 15:43:00,南京,北京,196,156
G124,20,2021-11-24 12:09:00,2021-11-24 16:17:00,南京,北京,196,156
G420,20,2021-11-24 12:21:00,2021-11-24 17:29:00,南京,北京,196,156
G130,20,2021-11-24 12:50:00,2021-11-24 17:44:00,南京,北京,196,156
G12,20,2021-11-24 13:10:00,2021-11-24 16:38:00,南京,北京,196,156
G132,20,2021-11-24 13:40:00,2021-11-24 18:32:00,南京,北京,196,156
G32,20,2021-11-24 14:04:00,2021-11-24 17:39:00,南京,北京,196,156
G56,20,2021-11-24 14:27:00,2021-11-24 18:53:00,南京,北京,196,156
G4,20,2021-11-24 15:02:00,2021-11-24 18:28:00,南京,北京,196,156
G164,20,2021-11-24 15:17:00,2021-11-24 19:53:00,南京,北京,196,156
G14,20,2021-11-24 16:01:00,2021-11-24 19:35:00,南京,北京,196,156
G146,20,2021-11-24 16:24:00,2021-11-24 20:48:00,南京,北京,196,156
G148,20,2021-11-24 16:47:00,2021-11-24 21:13:00,南京,北京,196,156
G170,20,2021-11-24 17:14:00,2021-11-24 21:18:00,南京,北京,196,156
G152,20,2021-11-24 17:34:00,2021-11-24 22:12:00,南京,北京,196,156
G154,20,2021-11-24 18:41:00,2021-11-24 22:53:00,南京,北京,196,156
D710,20,2021-11-25 00:02:00,2021-11-25 09:22:00,南京,北京,196,156
G2578,20,2021-11-25 07:16:00,2021-11-25 12:08:00,南京,北京,196,156
G4,20,2021-11-25 08:17:00,2021-11-25 11:40:00,南京,北京,196,156
G104,20,2021-11-25 08:37:00,2021-11-25 13:12:00,南京,北京,196,156
G6,20,2021-11-25 09:02:00,2021-11-25 12:24:00,南京,北京,196,156
G110,20,2021-11-25 09:16:00,2021-11-25 13:32:00,南京,北京,196,156
G114,20,2021-11-25 09:46:00,2021-11-25 14:12:00,南京,北京,196,156
G174,20,2021-11-25 10:10:00,2021-11-25 14:40:00,南京,北京,196,156
G116,20,2021-11-25 10:53:00,2021-11-25 15:22:00,南京,北京,196,156
G178,20,2021-11-25 11:12:00,2021-11-25 15:43:00,南京,北京,196,156
G122,20,2021-11-25 11:56:00,2021-11-25 16:29:00,南京,北京,196,156
G124,20,2021-11-25 12:09:00,2021-11-25 16:43:00,南京,北京,196,156
G182,20,2021-11-25 12:28:00,2021-11-25 16:58:00,南京,北京,196,156
G170,20,2021-11-25 13:02:00,2021-11-25 17:49:00,南京,北京,196,156
G184,20,2021-11-25 13:15:00,2021-11-25 18:12:00,南京,北京,196,156
G132,20,2021-11-25 13:50:00,2021-11-25 18:31:00,南京,北京,196,156
G34,20,2021-11-25 14:12:00,2021-11-25 17:40:00,南京,北京,196,156
G138,20,2021-11-25 14:53:00,2021-11-25 19:31:00,南京,北京,196,156
G190,20,2021-11-25 15:16:00,2021-11-25 19:57:00,南京,北京,196,156
G20,20,2021-11-25 16:01:00,2021-11-25 19:36:00,南京,北京,196,156
G144,20,2021-11-25 16:19:00,2021-11-25 20:45:00,南京,北京,196,156
G146,20,2021-11-25 16:36:00,2021-11-25 21:05:00,南京,北京,196,156
G22,20,2021-11-25 17:01:00,2021-11-25 20:37:00,南京,北京,196,156
G148,20,2021-11-25 17:17:00,2021-11-25 21:43:00,南京,北京,196,156
G152,20,2021-11-25 17:35:00,2021-11-25 22:20:00,南京,北京,196,156
G154,20,2021-11-25 18:27:00,2021-11-25 22:49:00,南京,北京,196,156
D710,20,2021-11-26 00:02:00,2021-11-26 09:22:00,南京,北京,231,184
G2578,20,2021-11-26 07:16:00,2021-11-26 12:08:00,南京,北京,231,184
